Biathlon;Women's 7.5km Sprint;GER;Gold
Biathlon;Women's 7.5km Sprint;NOR;Silver
Biathlon;Women's 7.5km Sprint;CZE;Bronze
Cross-Country Skiing;Ladies' 7.5km + 7.5km Skiathlon;SWE;Gold
Cross-Country Skiing;Ladies' 7.5km + 7.5km Skiathlon;NOR;Silver
Cross-Country Skiing;Ladies' 7.5km + 7.5km Skiathlon;FIN;Bronze
Short Track Speed Skating;Men's 1,500m;KOR;Gold
Short Track Speed Skating;Men's 1,500m;NED;Silver
Short Track Speed Skating;Men's 1,500m;OAR;Bronze
Ski Jumping;Men's Normal Hill Individual;GER;Gold
Ski Jumping;Men's Normal Hill Individual;NOR;Silver
Ski Jumping;Men's Normal Hill Individual;NOR;Bronze
Speed Skating;Ladies' 3,000m;NED;Gold
Speed Skating;Ladies' 3,000m;NED;Silver
Speed Skating;Ladies' 3,000m;NED;Bronze
Biathlon;Men's 10km Sprint;GER;Gold
Biathlon;Men's 10km Sprint;CZE;Silver
Biathlon;Men's 10km Sprint;ITA;Bronze
Cross-Country Skiing;Men's 15km + 15km Skiathlon;NOR;Gold
Cross-Country Skiing;Men's 15km + 15km Skiathlon;NOR;Silver
Cross-Country Skiing;Men's 15km + 15km Skiathlon;NOR;Bronze
Freestyle Skiing;Ladies' Moguls;FRA;Gold
Freestyle Skiing;Ladies' Moguls;CAN;Silver
Freestyle Skiing;Ladies' Moguls;KAZ;Bronze
Luge;Men's Singles;AUT;Gold
Luge;Men's Singles;USA;Silver
Luge;Men's Singles;GER;Bronze
Snowboard;Men's Slopestyle;USA;Gold
Snowboard;Men's Slopestyle;CAN;Silver
Snowboard;Men's Slopestyle;CAN;Bronze
Speed Skating;Men's 5,000m;NED;Gold
Speed Skating;Men's 5,000m;CAN;Silver
Speed Skating;Men's 5,000m;NOR;Bronze
Biathlon;Men's 12.5km Pursuit;FRA;Gold
Biathlon;Men's 12.5km Pursuit;SWE;Silver
Biathlon;Men's 12.5km Pursuit;GER;Bronze
Biathlon;Women's 10km Pursuit;GER;Gold
Biathlon;Women's 10km Pursuit;SVK;Silver
Biathlon;Women's 10km Pursuit;FRA;Bronze
Figure Skating;Team Event;CAN;Gold
Figure Skating;Team Event;OAR;Silver
Figure Skating;Team Event;USA;Bronze
Freestyle Skiing;Men's Moguls;CAN;Gold
Freestyle Skiing;Men's Moguls;AUS;Silver
Freestyle Skiing;Men's Moguls;JPN;Bronze
Ski Jumping;Ladies' Normal Hill Individual;NOR;Gold
Ski Jumping;Ladies' Normal Hill Individual;GER;Silver
Ski Jumping;Ladies' Normal Hill Individual;JPN;Bronze
Snowboard;Ladies' Slopestyle;USA;Gold
Snowboard;Ladies' Slopestyle;CAN;Silver
Snowboard;Ladies' Slopestyle;FIN;Bronze
Speed Skating;Ladies' 1,500m;NED;Gold
Speed Skating;Ladies' 1,500m;JPN;Silver
Speed Skating;Ladies' 1,500m;NED;Bronze
Alpine Skiing;Men's Alpine Combined;AUT;Gold
Alpine Skiing;Men's Alpine Combined;FRA;Silver
Alpine Skiing;Men's Alpine Combined;FRA;Bronze
Cross-Country Skiing;Ladies' Sprint Classic;SWE;Gold
Cross-Country Skiing;Ladies' Sprint Classic;NOR;Silver
Cross-Country Skiing;Ladies' Sprint Classic;OAR;Bronze
Cross-Country Skiing;Men's Sprint Classic;NOR;Gold
Cross-Country Skiing;Men's Sprint Classic;ITA;Silver
Cross-Country Skiing;Men's Sprint Classic;OAR;Bronze
Curling;Mixed Doubles;CAN;Gold
Curling;Mixed Doubles;SUI;Silver
Curling;Mixed Doubles;NOR;Bronze
Luge;Women's Singles;GER;Gold
Luge;Women's Singles;GER;Silver
Luge;Women's Singles;CAN;Bronze
Short Track Speed Skating;Ladies' 500m;ITA;Gold
Short Track Speed Skating;Ladies' 500m;NED;Silver
Short Track Speed Skating;Ladies' 500m;CAN;Bronze
Snowboard;Ladies' Halfpipe;USA;Gold
Snowboard;Ladies' Halfpipe;CHN;Silver
Snowboard;Ladies' Halfpipe;USA;Bronze
Speed Skating;Men's 1,500m;NED;Gold
Speed Skating;Men's 1,500m;NED;Silver
Speed Skating;Men's 1,500m;KOR;Bronze
Luge;Doubles;GER;Gold
Luge;Doubles;AUT;Silver
Luge;Doubles;GER;Bronze
Nordic Combined;Individual Gundersen NH/10km;GER;Gold
Nordic Combined;Individual Gundersen NH/10km;JPN;Silver
Nordic Combined;Individual Gundersen NH/10km;AUT;Bronze
Snowboard;Men's Halfpipe;USA;Gold
Snowboard;Men's Halfpipe;JPN;Silver
Snowboard;Men's Halfpipe;AUS;Bronze
Speed Skating;Ladies' 1,000m;NED;Gold
Speed Skating;Ladies' 1,000m;JPN;Silver
Speed Skating;Ladies' 1,000m;JPN;Bronze
Alpine Skiing;Ladies' Giant Slalom;USA;Gold
Alpine Skiing;Ladies' Giant Slalom;NOR;Silver
