sep=,
"Vergunningnr","Inrichting","KvK-nummer","Allocatie 2008","Emissie 2008","Naleving 2008","Allocatie 2009","Emissie 2009","Naleving 2009","Allocatie 2010","Emissie 2010","Naleving 2010","Allocatie 2011","Emissie 2011","Naleving 2011","Allocatie 2012","Emissie 2012","Naleving 2012","Allocatie 2013","Emissie 2013","Naleving 2013"
"NL-200700043","A. de Bruijn & Zn BV","27273523","25167","25276","Ja","25167","19714","Ja","25166","23068","Ja","25166","21537","Ja","25166","12209","Ja","-","-","-"
"NL-200700012","A.C. Hartman BV, locatie Sexbierum","01071907","22390","22209","Ja","30633","32117","Ja","32921","34001","Ja","32921","34693","Ja","32921","32335","Ja","17090","32544","Ja"
"NL-200800059","A12/CPP - Chevron Exploration and Production Netherlands B.V.","27114238","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","49086","63616","Ja"
"NL-200400022","Abbott Healthcare Products BV","32039508","18840","18370","Ja","18840","17159","Ja","18840","17857","Ja","18839","15666","Ja","18839","14552","Ja","17320","14230","Ja"
"NL-200600028","Abbott Laboratories B.V.","05018369","9660","11174","Ja","10074","11556","Ja","10132","12287","Ja","10333","11622","Ja","10452","10448","Ja","13205","14829","Ja"
"NL-200900120","Abengoa Bioenergy Netherlands B.V.","34242041","-","-","-","-","-","-","68032","96882","Ja","182156","285105","Ja","182156","270984","Ja","301411","257125","Ja"
"NL-200400126","Academisch Medisch Centrum (AMC)","34362777","48230","38449","Ja","48230","38658","Ja","48229","37930","Ja","48229","19530","Ja","48229","22200","Ja","20089","41633","Ja"
"NL-200400301","Academisch Ziekenhuis Groningen","01169570","23909","26116","Ja","23909","27392","Ja","23908","28422","Ja","23908","25194","Ja","23908","26063","Ja","13884","24781","Ja"
"NL-201000150","ACH Exploitatie B.V.","08141405","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2661","2904","Ja"
"NL-200400254","ADM Cocoa B.V.","35002995","37695","21630","Ja","37695","20868","Ja","37694","22016","Ja","37694","19692","Ja","37694","21376","Ja","21610","24838","Ja"
"NL-200400109","ADM Europoort B.V.","24160592","278007","200232","Ja","278007","223205","Ja","278007","203618","Ja","278006","197140","Ja","278006","187683","Ja","125236","175286","Ja"
"NL-200400283","AGC Flat Glass Nederland BV","11007861","101775","130417","Ja","101775","112744","Ja","101775","119744","Ja","101775","118722","Ja","101775","56568","Ja","39615","2156","Ja"
"NL-201200104","Agristo B.V.","18076913","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20484","20493","Ja"
"NL-200700044","Agro Care","27274144","14248","15666","Ja","14248","13526","Ja","14248","15495","Ja","14248","14392","Ja","14248","6105","Ja","-","-","-"
"NL-200700139","Agro Care Ontwikkeling II","27274144","37827","28975","Ja","50156","42476","Ja","50156","49160","Ja","50156","47210","Ja","50156","45019","Ja","20874","47309","Ja"
"NL-200400028","Air Liquide Industrie B.V., vestiging Bergen op Zoom","24234864","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","69841","78899","Ja"
"NL-200400113","Air Liquide Industrie B.V., vestiging Botlek-Rotterdam","24234864","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","225388","96169","Ja"
"NL-201100046","Air Liquide Nederland BV - SMR2","17076906","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","711761","544997","Ja"
"NL-200400264","Air Products Nederland B.V., Locatie Botlek (Merseyweg)","29048443","366840","342826","Ja","366840","344593","Ja","366839","384962","Ja","366839","309548","Ja","366839","298164","Ja","61747","291270","Ja"
"NL-201100042","Air Products Nederland B.V., Locatie Botlek (Botlekweg)","29048443","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","756130","545896","Ja"
"NL-200700028","AKW Energy BV","24328930","20134","21081","Ja","18318","19761","Ja","18318","23526","Ja","18318","21347","Ja","18318","6657","Ja","-","-","-"
"NL-200400117","Akzo Nobel Industrial Chemicals B.V.","31038214","184791","176400","Ja","184791","161776","Ja","184791","169786","Ja","184790","163799","Ja","184790","171076","Ja","96001","169802","Ja"
"NL-200400177","Akzo Nobel Chemicals B.V. (Hengelo)","31038214","418634","408592","Ja","418634","400289","Ja","418634","440133","Ja","418634","336061","Ja","418634","264189","Ja","258146","267279","Ja"
"NL-201100051","Akzo Nobel Chemicals, Farmsum","31038214","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","316662","3189","Ja"
"NL-200400171","Albemarle Catalysts Company B.V.","32073705","13371","13195","Ja","13371","11736","Ja","13371","14410","Ja","13371","13025","Ja","13371","14302","Ja","71323","66057","Ja"
"NL-200400079","Aluminium Delfzijl B.V. (Aldel)","02316644","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","193991","148342","Ja"
"NL-200400292","Aluminium & Chemie Rotterdam B.V.","24120312","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","109066","214870","Ja"
"NL-200500019","Amsteldijk Beheer B.V.","33080456","14215","14793","Ja","14214","14049","Ja","14214","17093","Ja","14214","14023","Ja","14214","13485","Ja","22277","22122","Ja"
"NL-200400199","Apollo Vredestein B.V.","34223268","17758","16303","Ja","17758","16592","Ja","17758","18258","Ja","17758","17315","Ja","17758","17245","Ja","17966","17322","Ja"
"NL-200400140","Ardagh Glass Dongen B.V.","18110358","75364","92683","Ja","75364","92977","Ja","75363","73266","Ja","75363","73036","Ja","75363","95243","Ja","92231","93129","Ja"
"NL-200400118","Ardagh Glass Moerdijk BV","33178991","28811","35957","Ja","37970","45191","Ja","55822","59268","Ja","60740","65686","Ja","61299","68054","Ja","54679","59333","Ja"
"NL-200800061","Asfalt Centrale BAM","30208049","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3546","3130","Ja"
"NL-201100053","Asfalt Centrale Nijkerk (ACN) B.V.","08020197","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3042","2240","Ja"
"NL-201000023","Asfalt Centrale Rotterdam (ACR)","24349349","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5924","7214","Ja"
"NL-201000110","Asfalt Centrale Utrecht","53046552","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3731","4199","Ja"
"NL-200800062","Asfalt Productie Amsterdam (APA) B.V.","34219737","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4898","7330","Ja"
"NL-201100052","Asfalt Productie De Eem (APE) B.V.","31047938","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3037","5304","Ja"
"NL-200800064","Asfalt Productie Doetinchem","09040821","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2195","4360","Ja"
"NL-201000113","Asfalt Productie Hoogblokland","11016659","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5595","6039","Ja"
"NL-201000062","Asfalt Produktie Maatschappij","20076210","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3602","4414","Ja"
"NL-201000116","Asfalt Productie Nijmegen","10043841","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1744","1972","Ja"
"NL-200800063","Asfalt Productie Rotterdam Rijnmond (APRR) B.V.","33266463","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7128","9958","Ja"
"NL-201000118","Asfalt Productie Westerbroek b.v.","4056756","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4139","3413","Ja"
"NL-200800065","Asfaltcentrale Harderwijk","09040821","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2775","4336","Nee"
"NL-200800071","Asfaltcentrale Heijmans Amsterdam","18124067","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2864","2611","Ja"
"NL-200800073","Asfaltcentrale Heijmans 's-Hertogenbosch","18124067","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4723","5080","Ja"
"NL-200800074","Asfaltcentrale Heijmans Venlo","18124067","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2791","2645","Ja"
"NL-200800075","Asfaltcentrale Heijmans Zwijndrecht","18124067","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2532","3676","Ja"
"NL-200800067","Asfaltcentrale Limburg (ACL)","14030480","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2887","4153","Ja"
"NL-201000107","AsfaltCentrale Overbetuwe (ACOB) B.V.","09021915","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1843","1934","Ja"
"NL-201000108","Asfalt Centrale Rivierenland v.o.f.","11015389","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1901","2231","Ja"
"NL-201000061","AsfaltCentrale Stedendriehoek (ACS)","38019939","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2536","3071","Ja"
"NL-201000114","Asfalt Productie Kootstertille B.V.","01083550","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3048","5143","Ja"
"NL-201000117","Asfaltproductie Rasenberg Wegenbouw B.V.","20032947","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3829","2971","Nee"
"NL-200800038","Asfaltproductie Regio Amsterdam BV (ARA)","34217572","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5875","8784","Ja"
"NL-200500004","Ashland Industries Nederland B.V.","27022150","21081","19966","Ja","21081","19443","Ja","21081","20649","Ja","21081","20483","Ja","21081","19754","Ja","19846","19654","Ja"
"NL-200400187","AVEBE U.A. locatie Foxhol","02300804","57107","42286","Ja","57107","43293","Ja","57106","41377","Ja","57106","25493","Ja","57106","24302","Ja","29436","29225","Ja"
"NL-200400188","AVEBE U.A. locatie Gasselternijveen","02300804","90868","72354","Ja","90868","79269","Ja","90868","82579","Ja","90868","75738","Ja","90867","79058","Ja","63549","75164","Ja"
"NL-200400033","AVEBE U.A. locatie Ter Apelkanaal","02300804","175020","150831","Ja","175020","135703","Ja","175020","139667","Ja","175019","118428","Ja","175019","108567","Ja","94409","117382","Ja"
"NL-200400194","AVEBE U.A. locatie Veendam (DWM)","02300804","14828","4599","Ja","14828","448","Ja","-","-","-","-","-","-","-","-","-","-","-","-"
"NL-200400013","Aviko B.V., vestiging Lomm","08027672","17461","18292","Ja","17461","14653","Ja","17461","14735","Ja","17460","15365","Ja","17460","12527","Ja","15364","12893","Ja"
"NL-200400099","Aviko B.V., vestiging Steenderen","08027672","66155","61320","Ja","66155","63692","Ja","66155","62356","Ja","66154","62502","Ja","66154","63673","Ja","38277","58619","Ja"
"NL-200700114","B.V. Steenfabriek Hedikhuizen","16074468","21683","12169","Ja","21682","11289","Ja","21682","9415","Ja","21682","14898","Ja","21682","13527","Ja","9652","12017","Ja"
"NL-200400114","B.V. Steenfabriek Huissenswaard","09151313","20780","21258","Ja","20779","21562","Ja","20779","15939","Ja","20779","14984","Ja","20779","16251","Ja","17215","16832","Ja"
"NL-200400121","B.V. Steenfabriek Spijk","09147037","31063","30845","Ja","31063","31833","Ja","31063","32301","Ja","31063","33143","Ja","31063","25706","Ja","25277","25851","Ja"
"NL-200700140","Barendse DC II b.v.","27292667","26292","22483","Ja","26292","21847","Ja","26292","25284","Ja","26292","23289","Ja","26292","25067","Ja","11813","23815","Ja"
"NL-200400297","Bavaria N.V.","17007387","55076","52938","Ja","55076","51139","Ja","55076","51287","Ja","55075","49788","Ja","55075","52705","Ja","36579","51740","Ja"
"NL-200700045","BB Energy B.V.","01106204","18207","15641","Ja","18207","17961","Ja","18207","19457","Ja","18206","17392","Ja","18206","5672","Ja","-","-","-"
"NL-200700141","Beekenkamp Plants BV","27247058","17754","14851","Ja","17754","15587","Ja","17754","16520","Ja","17753","14883","Ja","17753","15542","Ja","9382","18443","Ja"
